,EntryPrice,ExitPrice,Side,ProfitLoss
0,30,50,short,-0.7857142857142857
1,31,50,short,-0.75
2,32,50,short,-0.7142857142857143
3,33,50,short,-0.6785714285714286
4,34,50,short,-1.2857142857142858
5,35,50,short,-1.2142857142857142
6,36,50,short,-1.1428571428571428
7,37,50,short,-1.0714285714285714
8,38,50,short,-1.0
9,39,50,short,-0.9285714285714286
10,40,50,short,-0.8571428571428571
11,41,50,short,-0.7857142857142857
12,42,50,short,-0.7142857142857143
13,43,50,short,-0.6428571428571429
14,44,50,short,-0.5714285714285714
15,45,50,short,-0.5
