,EntryPrice,ExitPrice,Side,ProfitLoss
0,55,50,long,-0.45652173913043476
1,56,50,long,-0.5217391304347826
2,57,50,long,-0.5869565217391305
3,58,50,long,-0.6521739130434783
4,59,50,long,-0.717391304347826
5,60,50,long,-0.782608695652174
6,61,50,long,-0.8478260869565217
7,62,50,long,-0.9130434782608695
8,63,50,long,-0.6521739130434783
9,64,50,long,-0.6956521739130435
10,65,50,long,-0.7391304347826086
11,66,50,long,-0.782608695652174
12,67,50,long,-0.8260869565217391
13,68,50,long,-0.8695652173913043
14,69,50,long,-0.45652173913043476
15,70,50,long,-0.4782608695652174
16,71,50,long,-1.0
17,72,50,long,-1.0434782608695652
18,73,50,long,-1.0869565217391304
19,74,50,long,-1.1304347826086956
